0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0;
1000,-1.0,-1.0,-1.0,-0.998,0.004,-0.97;
2000,-1.0,-1.0,-1.0,-0.996,0.008,-0.94;
3000,-1.0,-1.0,-1.0,-0.994,0.012,-0.90999997;
4000,-1.0,-1.0,-1.0,-0.992,0.016,-0.88;
5000,-1.0,-1.0,-1.0,-0.99,0.02,-0.85;
6000,-1.0,-1.0,-1.0,-0.988,0.024,-0.82;
7000,-1.0,-1.0,-1.0,-0.986,0.028,-0.79;
8000,-1.0,-1.0,-1.0,-0.984,0.032,-0.76;
9000,-1.0,-1.0,-1.0,-0.982,0.036,-0.73;
10000,-1.0,-1.0,-1.0,-0.98,0.04,-0.7;
11000,-1.0,-1.0,-1.0,-0.978,0.044,-0.66999996;
12000,-1.0,-1.0,-1.0,-0.976,0.048,-0.64;
13000,-1.0,-1.0,-1.0,-0.974,0.052,-0.61;
14000,-1.0,-1.0,-1.0,-0.972,0.056,-0.58000004;
15000,-1.0,-1.0,-1.0,-0.97,0.06,-0.55;
16000,-1.0,-1.0,-1.0,-0.968,0.064,-0.52;
17000,-1.0,-1.0,-1.0,-0.966,0.068,-0.49;
18000,-1.0,-1.0,-1.0,-0.964,0.072,-0.45999998;
19000,-1.0,-1.0,-1.0,-0.962,0.076,-0.43;
20000,-1.0,-1.0,-1.0,-0.96,0.08,-0.39999998;
21000,-1.0,-1.0,-1.0,-0.958,0.084,-0.37;
22000,-1.0,-1.0,-1.0,-0.956,0.088,-0.33999997;
23000,-1.0,-1.0,-1.0,-0.954,0.092,-0.31;
24000,-1.0,-1.0,-1.0,-0.952,0.096,-0.27999997;
25000,-1.0,-1.0,-1.0,-0.95,0.1,-0.25;
26000,-1.0,-1.0,-1.0,-0.948,0.104,-0.22000003;
27000,-1.0,-1.0,-1.0,-0.946,0.108,-0.19;
28000,-1.0,-1.0,-1.0,-0.944,0.112,-0.16000003;
29000,-1.0,-1.0,-1.0,-0.94200003,0.116,-0.13;
